author	keywords
peaucelle	superchaton***cession***exclusive***inévitable***regardez***exemple***règles***adoptées***elsevier***https***elsevier***about***company***information***policies***copyright***government***20employees***pour***agents***publics***session***exclusive***interdit***dans***leur***droit***france***honorerait***être***traine***liberté***diffusion***connaissances***notion***même***cession***exclusive***éditeur***inscrite***dans***problématique***pour***éditeurs***aient***rémunération***pour***leur***travail***mise***forme***diffusion***services***afférents***mais***pour***aient***droit***posséder***façon***exclusive***résultats***recherche***plus***réalisés***service***public***recherche***doit***plus***avoir***période***embargo***restriction***accès***données***recherche***fouille***données***pourquoi***sujets***sont***omis***texte***recul***pratiques***existantes***après***avoir***freiné***recherche***avec***coupes***budgétaires***rajoute***avec***freins***circulation***connaissances
thomasheams	arguments***durée***excessive***embargo***voire***contre***existencesont***pertinents***point***chercheurs***mais***attention***faire***cette***réserve***point***refus***article***consisterait***servir***fine***cause***ceux***opposent***frontalement***notamment***pour***préserver***leur***intérêt***économique***important***inscrire***nouveau***principe***dans***donc***voter***pour***article***améliore***situation***existante***point***chercheurs***quitte***être***mobilisé***aussi***suppression***embargo***présent***ultérieurement
nicolas	faudrait***prévoir***disposition***permet***limiter***accès***données***lorsque***dernières***sont***susceptibles***aboutir***brevet***invention***dans***tout***accès***données***sera***public***après***publication***brevet
marcelpoualion	univers***digital***complètement***submerge***publications***anglais***absolument***impératif***recherche***française***français***soit***mise***disposition***pour***combattre***domination***occulte***complètement***savoir***langue***française***faut***auteurs***chercheurs***français***libèrent***cette***attitude***protectrice***vouloir***garder***leurs***connaissance***secrètes***afin***espèrent***mieux***commercialiser***mieux***tirer***parti***rester***secret***dans***notre***monde***digital***garantie***oubli***comme***épicier***coin***oranges***étal***vous***achèterez
davidvantyghem	surtout***éviter***nouveau***drame***http***takepart***internets***cmpid***twtr
dsa	notion***financement***moins***pour***moitié***doit***être***définie***plus***clairement***particulier***inclure***salaire***auteurs***représente***souvent***part***plus***importante***coût***travail***recherche***embargo***elle***soit***durée***totalement***illégitime***pour***travaux***financés***fonds***publics***cela***encore***plus***vrai***pour***manuscrits***pour***lesquels***éditeur***apporté***aucune***plus***value
alexandrekeledjian	pourquoi***limiter***publications***jeux***données***ainsi***algorithmes***programmes***utilisés***pour***leurs***traitement***format***publication***numérique***devraient***être***libres***ouverts***interopérables***permettant***ainsi***vérification***plus***aisée
thibaultlietard	suis***parfaitement***pour***libre***accès***articles***scientifiques***mais***moins***saisisse***semble***aberrant***faire***différence***entre***sciences***fondamentales***sciences***humaines***même***semble***nécessaire***plus***imposer***délai***travaille***même***dans***recherche***informatique***attendre***mois***pour***obtenir***article***comme***prendre***annuaire***1980***pour***trouver***numéro***quelqu***technologies***techniques***progressent***très***vite***plus***bénéfique***pour***recherche***serait***accès***immédiat
emmanuelbeffara	effet***article***rédigé***fait***limiter***libre***accès***publications***scientifiques***recherche***publique***entérinerait***dans***pratiques***captation***droits***éditeurs***sont***déjà***limite***légalité***concernant***législation***propriété***intellectuelle***impose***plus***embargo***diffusion***prépublications***alors***embargo***existe***heure***actuelle***embargo***inadmissible***parce***prépublications***sont***outil***incontournable***diffusion***résultats***recherche***nettement***plus***fiable***efficace***proposent***maisons***édition***accessoirement***nommés***éditeurs***scientifiques***font***réalité***aucun***travail***édition***puisque***communauté***scientifique***elle***même***fait***sans***rémunération***particulière***pour***cela***puisque***cela***fait***partie***activité***recherche***même***mise***forme***articles***largement***déléguée***auteurs***garantit***qualité***revues***aucun***travail***maison***édition***travail***scientifiques***évaluent***sélectionnent***articles***pour***cette***raison***ailleurs***plus***plus***revues***lignes***très***bien***cotées***mettent***leurs***articles***libre***accès***publication
florianmoreau	embargo***reduit***mois***obligation***faite***editeur***permettre***auteur***publier***site***lien***vers***version***finale***manuscript***idealement***plateforme***etat
davidmonniaux	durée***embargo***mois***sciences***exactes***elle***justifiée***travail***éditeurs***dans***certaines***disciplines***ceux***font***mettre***page***documents***auteurs***avec***éventuellement***retouches***sous***traitées***inde***leurs***frais***sont***minimaux***leurs***profits***importants***durée***nulle***réduite***mois***serait***plus***adaptée
erickajfasz	embargo***mois***selon***type***publication***prévu***trop***long***accès***ouvert***données***publications***issues***recherche***doit***être***assuré
patrickbaillot	pense***devrait***avoir***embargo***pour***articles***financés***avec***argent***public
charlotterecapet	phrase***cette***mise***disposition***peut***donner***lieu***aucune***exploitation***commerciale***prête***confusion***nombreuses***personnes***interprétant***comme***interdiction***exploitation***commerciale***résultats***recherche***fois***publiés***pense***soit***serait***drôle***révolution***entrerait***contradiction***avec***lois***brevets***propriété***intellectuelle***faudrait***donc***clarifier***point***pourquoi***créer***embargo***légal***publications***éditées***alors***embargo***existe***aujourd***cela***crée***fait***restriction***libre***circulation***résultats***contraire***objectifs***affichés***comprends***plus***distinction***appliquée***entre***sciences***naturelles***sciences***humaines***sociales***justifiées***dans***proposition
editionsdalloz	éditeurs***jouent***rôle***fondamental***regard***qualité***contenus***scientifiques***particulier***travers***promotion***notoriété***auteurs***qualité***revues***certification***information***archivage***pérenne***diffusion***plus***large***possible***travail***coût***parce***travaux***recherche***sont***financés***fonds***publics***leur***publication***dans***revue***éditeur***également***prise***charge***etat***pourquoi***toute***décision***concernant***modalités***application***open***access***doit***être***subordonnée***études***impact***visant***mettre***place***embargos***préservant***pérennité***revues***travers***durée***moins***égale***mois***mois***éditeurs***soutiennent***cependant***principe***mise***place***libre***accès***articles***revues***scientifiques***expérimentent***depuis***plusieurs***années***soit***avec***ouverture***archives***après***délai***embargo***raisonnable***donnant***éditeur***temps***nécessaire***commercialisation***publications***soit***sous***forme***accès***immédiat***articles***contrepartie***paiement***frais***publication***amont***établissements***recherche***droit***auteur***doit***être***variable***ajustement***pénurie***budgétaire***retard***france***dans***domaine***acquisitions***ressources***numériques***bibliothèques***universitaires***dénoncé***cour***comptes***2005***enfin***réforme***doit***avantager***géants***internet***intérêt***commercial***promouvoir***libre***accès***immédiat***ressources***afin***aspirer***constituer***leurs***propres***bases***données***profitant***valeur***créée***éditeurs***très***majoritairement***européens***sélectionnent***valident***contenus
syndicatnationaldeledition	etat***doit***interférer***dans***pratiques***contractuelles***entre***auteurs***éditeurs***relèvent***liberté***contractuelle***gage***liberté***expression***exclusivité***publication***article***elle***seule***permet***éditeur***obtenir***retour***investissement***cette***exclusivité***tout***incompatible***avec***fait***éditeur***autorise***auteur***article***mettre***open***access***article***après***délai***raisonnable***pratiquent***longue***date***éditeurs***scientifiques***comme***compétence***ministère***culture***communication***toutes***questions***touchant***droit***auteur***soit***réaffirmée***éditeurs***réitèrent***leur***opposition***toute***modification***régime***agents***publics***liberté***contractuelle***liberté***expression***contrario***pouvoirs***publics***doivent***donner***impulsion***véritable***développement***numérique***pédagogique***universitaire***mettant***certaines***situations***actuelles***concurrence***déloyale***causée***politique***subvention***édition***publique***partie***critiquable***agit***également***prévoir***budgets***réellement***adéquats***pour***acquisition***ressources***numériques***particulier***pédagogiques***scientifiques***situation***retard***france***dans***domaine***notamment***dénoncée***cour***comptes***dans***rapport***bibliothèques***universitaires***publié***2005***observait***écarts***entre***france***principales***références***étrangères***situent***encore***dans***rapport***simple***double***quels***soient***critères***comparaison
patrickechegut	embargo***alors***soit***payé***éditeurs***nourrissent***productions***quoi***monde***dans***lequel***fait***profits***producteurs***sont***jamais***rémunérés***même***dans***agriculture***pourtant***domaine***sensible***rémunération***produit***autres***part***nous***tient***production***facteurs***notre***évaluation***alors***passons***open***access***oublions***bibliométrie***aura***plus***peut***être***moins***article***servent***rien***sinon***faire***nombre
plessismarc	obligation***publier***intéressante***mais***clairement***période***embargo***trop***longue***période***ramenée***voir***mois***maximum***serait***bien***plus***pertinente
laurentromary	embargos***doivent***appliquer***version***éditeur
frederiquelangue	pour***libre***accès***travaux***issus***recherche***publique***embargo***préjudiciable***diffusion***internationale***recherches***indispensable***sortir***opposition***éditeurs***commerciaux***acteurs***partisans***open***accessen***particulier***sont***nouvelles***modalités***diffusion***recherche***importent***savoir***faire***acquis***dans***domaine***deux***modèles***bien***opposés***dans***leurs***principes***commerce***science***faire***payer***chercheurs***laboratoires***pour***publier***sens***peuvent***coexister***même***avenir***côté***développement***succès***open***edition***témoignent***amplement***depuis***plusieurs***années
claudegout	production***réalisée***recherche***financée***fonds***publics***doit***être***disponible***immediatement***pourquoi***ailleurs***cette***distinction***entre***sciences***dures***sciences***molles***intérêt***numérique***permettre***ceci***sans***avoir***passer***rapaces***éditeurs***rappelons***chercheur***génère***aujourd***grâce***numérique***produit***finalisé***nécessite***aucun***travail***édition***travail***pairs***revoient***valident***qualité***produit***font***plus***généralement***gratuitement***cqfd
arnaudlegrand	idéal***pour***créer***start***emploi***parle***imposer***french***tech***ailleurs***cela***devrait***être***depuis***longtemps***sachant***beaucoup***recherches***concernent***numérique
michelvert	chercheur***idée***fonds***publics***financent***chercheur***travaille***rédige***publication***suivant***instructions***précises***journal***ouvrage***choisi***moins***deux***examinateurs***rémunérés***évaluent***suggèrent***améliorations***approuvent***travail***enfin***éditeur***finalise***publie***exclusivité***accordée***puis***diffuse***information***sans***chercheur***sans***financement***sans***examinateurs***peut***avoir***publication***qualité***alors***sans***éditeur***tout***fait***possible***proposition***antérieure***benjamin***péret***faveur***création***service***public***édition***numérique***productions***scientifiques***concurrent***analogie***avec***uber***pour***transport***taxi***idéale***impossibilité***quelle***soit***origine***analyse***début***justifierait***compromis***équitable***embargo***court***correspondant***phase***recherche***information***scientifique***nouvelle***chercheur***mois***maximum***avant***pouvoir***mettre***version***acceptée***manuscrit***site***diffusion***sans***profit***cette***version***devrait***alors***être***accompagnée***référence***identification***oeuvre***publiée
venet	aligner***duree***rétention***droit***européen***fonds***publics
robertodicosmo	dela***arguments***fond***deja***souleves***redaction***actuelle***realite***absolument***scandaleuse***institutionnalise***droit***embargo***dernière***version***acceptée***manuscrit***éditeur***exclusion***travail***mise***forme***incombe***dernier***dire***version***publiee***editeur***mais***bien***preprint***entierement***realise***auteur***partage***entre***scientifiques***largement***depuis***tres***longtemps***sans***souciers***quelconque***embargo***sous***couvert***donner***plus***droits***auteurs***scientifiques***realite***leur***retire***droit***disposer***librement***fruit***leur***travail***article***dans***redaction***actuelle***simplement***inacceptable***science***societe***seront***bien***mieux***lotis***avec***droit***actuellement***existant***pour***voir***exemple***passe***pour***articles***publies***auteurs***americains***anglais***fonds***publics***vous***renvoie***sources***voyez***clauses***pour***crown***copyright***exemple***icihttp***ieee***documents***ieeecopyrightform***renvoie***lecture***article***redige***2006***avait***deja***envoye***differents***ministeres***seule***solution***simple***economique***pratique***estla***suppression***pure***simple***droits***patrimoniaux***articles***scientifiques***comme***cela***etats***unis***pour***articles***issus***recherche***fonds***federaux***pour***fois***ayons***peur***suivre***exemple***venant***ailleurs***nous***sommes***train***rater***notre***train***depuis***decennies***voir***http***dicosmo***freeaccesstoscience***dans***etat***actuel***droit***captation***forcee***remuneree***droit***auteur***chercheurs***tiendrait***devant***juge***surement***pour***cela***encore***jamais***chercheur***traine***dans***tribunal***editeur***parce***article***page***bien***tous***articles***page***attends***encore***contre***apres***article***comme***celui***apparence***plein***bonne***volonte***affirme***droit***imposer***embargo***voir***mois***part***editeurs***impose***tout***usage***fait***articles***soit***commercial***autre***termes***preserve***monopole***desuet***editeurs***devrait***mieux***appeler***imprimeurs***aujourd***lieu***place***accompagner***vers***naturelle***disparition
oliviersandre	pourquoi***journaux***privés***issus***sociétés***savantes***garantiraient***moins***pérennité***écrits***système***public***existe***hormis***peut***être***philosophical***transactions***royal***society***existent***depuis***quand***pauvres***comptes***rendus***académie***sciences***sont***tombées***oubliettes***depuis***belle***lurette***fait***coeur***devoir***rendre***grâce***amis***royalistes***outre***manche***site***intitule***république***numérique***mais***vérité***encore***fois***pense***physiciens***sont***bien***représentés***cnrs***comets***veulent***appliquer***leur***façon***faire***mais***faut***aussi***regarder***pratiques***chimistes***faut***trouver***solution***simple***pratique***pendant***discute***grands***principes***entre***français***anglosaxons***sociétés***privées***sociétés***savantes***font***leur***commerce***prospère***tout***monde***auteurs***éditeurs***lecteurs***sait***bien***final***tous***articles***sont***disponibles***sous***manteau***sites***internets***situés***autre***côté***ancien***rideau***tout***monde***connait***pense***ailleurs***anglais***appliqué***temps***open***access***obligatoire***pour***résultats***recherches***financées***crédits***publics***sont***revenus***depuis***faut***donc***trouve***formule***fois***juste***simple***appliquer***embargo***mois***bien***adapté***côté***pour***assurer***pérennité***éditeurs***scientifiques***soient***sociétés***privés***sociétés***savantes***majorité***anglo***saxonnes***cela***fait***énormément***différence***delà***persistance***journaux***donc***science***contiennent***produit***kleenex***autre***pour***résultats***recherches***soient***disponibles***tous***physique***archivage***prints***manuscrits***auteurs***habitude***journaux***sont***majorité***issus***sociétés***savantes***ieee***mais***aussi***elsevier***font***travail***reviewing***qualité***mais***sont***souvent***très***longues***publier***articles***après***leur***acceptation***plusieurs***mois***coup***auto***archivage***sites***arxiv***vraiment***indispensable***pour***travaux***soient***connus***rapidement***chimie***science***matériaux***sociétés***savantes***tout***comme***éditeurs***wiley***elsevier***approche***beaucoup***plus***commerciale***multiplication***nouveaux***titres***campagne***adhésion***moitié***prix***présence***dans***conférences***nécessité***payer***copyright***pour***pouvoir***réutiliser***figures***autorise***archivage***contrepartie***publication***immédiate***acceptation***manuscrit***sous***forme***asap***avec***numéro***pour***article***puisse***être***cité***proposition***impose***embargo***tout***autorisant***archivage***dans***tous***semble***propice***unifier***pratiques***dans***domaines***aussi***proches***ceux***physique***chimie***oublier***plus***tirés***part***articles***sont***toujours***disponibles***écrivant***auteurs***comme***cela***toujours***fait***depuis***décennies***final***cette***proposition***bonne***faut***voter***pour
djp1	article***contradiction***avec***tous***contrats***publication***éditeurs***articles***scientifiques***elsevier***autres***contrat***auteur***engage***utiliser***supports***éditeur***possibilité***accès***libre***ceci***implique***chercheurs***français***pourront***plus***publier***dans***grandes***revues***internationales***sans***mettre***dans***illégalité***droit***international***français
villeneuve	vote***ambigu***suis***pour***libre***accès***publications***mais***contre***période***embargo
vincentreverdy	emmanuel***hadoux***suffit***faire***fait***partir***communauté***mathématique***savoir***plus***publier***chez***elsevier***lorsque***cela***techniquement***faisable***volumes***données***sont***trop***important***exemple***ouverture***algorithmes***données***brutes***devrait***être***également***très***fortement***encouragée***pour***faciliter***reproductibilité***résultats***scientifiques
remipeyre	vote***mitigé***idées***départ***sont***certes***bonnes***mais***formulation***actuelle***article***recèle***encore***quelques***pièges***fort***problématiques***gagnerait***intégrer***modifications***suggérées***cnrs***proposition***cnrs***dist***renaud***fabre***septembre***2015
aymericpoulainmaubant	beaucoup***choses***dites***dire***article***exemple***pourquoi***restreindre***écrits***jeux***données***permettant***reproduction***autres***équipes***fins***vérification***devraient***être***concernés***aussi***avec***précautions***envisager***article***bien***trop***court***compte***tenu***enjeux***article***insee***bien***super***long***celui***mériterait***être***travaillé***beaucoup***plus
pn	pour***mais***embargo***trop***long***superflu***mettre***maximum***lieu***après***délai***seulement***droit***publier***mais***devoir***avis***mitigé***progression***mais***insuffisante***plutôt***pour***mieux***rien
mathieurouard	pour***atteindre***objectif***vaudrait***mieux***mettre***place***politique***publication***quasi***obligatoire***dans***revues***libre***accès***open***access***pour***instituts***publics***recherche***cela***contribuerait***davantage***transition***vers***modèle***économique***alternatif***concertation***avec***éditeurs***comme***cela***commence***déjà***être***avec***journaux***comme***plos***scientific***reports***aussi***déjà***possible***avoir***article***ouvert***sans***embargo***dans***beaucoup***autres***journaux***qualité***nature***pour***ceux***auraient***réserves***facteurs***impacts***certaines***revues***seule***condition***payer***plus***cher***lorsque***manuscrit***accepté***pour***publication***plus***plus***chercheurs***incluent***cout***dans***leurs***projets***recherche***mais***devrait***aussi***avoir***budget***institutionnel***dédié***négociation***globale***tarifs***pour***amener***tarifs***baisse***prix***sont***encore***trop***chers***prolifération***nouveaux***journaux***open***access***spam***associé***indique***assez***clairement***marché***rentable***avec***dérives***surveiller***ailleurs
sylviegrandeuryburon	durée***embargo***plus***courte***entraver***text***data***mining***interdire***exploitation***commerciale
cyrilcohen	article***constitue***régression***rapport***pratiques***font***dans***revues***proceedings***publie***particulier***embargo***document***auteur***veux***pouvoir***déposer***dans***archive***ouverte***article***rédigé***immédiatement***sans***aucune***restriction
cedriccorrege	tout***article***scientifique***issue***fond***publique***devrait***être***accessible***tous***sort***durée***mois
hervecourtois	embargo***sciences***vitesse***avancée***connaissance***complètement***inapproprié
williampaul	faut***briser***monopole***publication***privée
geoffreythiesset	période***embargo***trop***longue***partage***avis***autres***contributeurs
sylviepommier	mieux***préciser***signifie***finance***fonds***publics***temps***travail***chercheur***public***projet***ayant***reçu***financement***privé***doit***être***compté***comme***contribution***publique***projet***rendre***obligatoire***dépôt***archive***ouverte***articles***financés***recherche***publique***incluant***salaire***chercheur***possible***automatisation***dépôt***premiere***version***avec***embargo***court***articles***retenus***pour***publication***éditeurs
inradistodilehologne	association***science***europe***rassemble***organismes***recherche***agences***financement***europe***dont***france***publié***2013***position***statement***principles***open***access***research***publications***explicitement***deposited***soon***possible***repository***made***available***inopen***access***cases***later***than***months***following***first***publication***arts***humanities***social***sciences***delay***need***longer***than***months***must***more***than***months***harmonie***avec***recommandations***commission***politique***h2020***serait***regrettable***française***introduise***complications***défavoriseront***chercheurset***gêneront***collaborations***internationales***prise***position***science***europe***principes***pour***transition***vers***libre***accès***publications***recherchetraduction***française***version***avril***2013***http***openaccess***inist***science***europe***traductioncf***sources
pierrecrescenzo	cette***proposition***article***négative***articles***issus***recherche***surtout***publique***sauf***impératif***sécurité***doivent***être***diffusables***sans***délai***contrainte***citant***auteurs
francoischaroy	délai***embargo***beaucoup***trop***long***peut***même***interroger***nécessité***embargo***concernant***recherche***financée***fonds***publics
frederichelein	fédération***nationale***presse***information***spécialisée***faut***rappeler***dans***immense***majorité***chercheurs***écrivent***articles***ceux***sont***responsables***éditoriaux***revues***ceux***expertisent***anonymement***articles***touchent***centime***éditeurs***tous***travail***fait***bénévolement***scientifiques***dont***travaux***sont***pour***plupart***financés***fonds***publics***travail***éditeurs***borne***maintenant***soutien***secrétariat***comités***éditoriaux***mais***toujours***structuration***distribution***numérique***archivage***numérique***quant***impression***papier***dans***beaucoup***domaines***elle***quasiment***disparue***gros***problème***autant***pour***chercheurs***leurs***institutions***pour***petits***éditeurs***concentration***édition***dans***mains***oligopole***elsevier***springer***wiley***réalise***profits***gigantesques***aspirent***crédits***bibliothèques***bientôt***laboratoires***puisque***chercheurs***doivent***plus***plus***payer***pour***publier***laissant***plus***quoi***payer***petits***éditeurs***texte***laisse***vide***juridique***béant***fouille***texte***donnée***enjeu***crucial***dans***futur***risque***payer***très***cher***législation***interdit***privatisation***données***issues***recherche***publique***contrairement***angleterre***durées***embargo***sont***trop***longues***faut***moins***aligner***recommandations***européennes***entrave***exploitation***commerciale***frein***valorisation***chercheurs***leurs***travaux***innovation
olivierdessombz	faut***effectivement***libérer***publications***scientifiques***mais***mois***trop***mois***sont***suffisants
alexanderdoria	prise***compte***explicite***données***autres***formes***publications***associées***articles***alors***publications***croisées***sont***plus***plus***fréquentes***champ***publications***concernées***intègre***aussi***actes***colloques***congrès***ainsi***formes***compilations***souples***recueils***mélanges
federationnationaledelapressedinformationspecialisee	véhémence***certains***contributeurs***encontre***éditeurs***privés***commerciaux***extrêmement***choquante***contre***productive***faut***rappeler***indispensable***travail***édition***intermédiation***effectué***éditeurs***sélection***organisation***évaluation***validation***peer***reviewing***structuration***édition***impression***distribution***imprimée***numérique***archivage***assurer***diffusion***pérenne***information***vérifiée***qualité***faut***rappeler***aussi***fonctionnement***même***recherche***quête***publication***travaux***jusqu***modalités***évaluation***repose***sérieux***qualité***revues***ainsi***label***certification***elles***apportent***auteurs***chercheurs***impact***factor***mouvement***faveur***libre***accès***résultats***recherche***scientifique***peut***donc***affranchir***respecter***prendre***compte***rôle***clef***éditeurs***scientifiques***activité***édition***coût***aussi***maillon***pivot***contribue***longue***date***diffusion***visibilité***travaux***chercheurs***ceux***prononcent***faveur***mise***mort***programmée***éditeurs***scientifiques***réalisent***cela***reviendrait***également***compromettre***diffusion***rayonnement***travaux***recherche***française***attaques***injustifiées***contre***supposé***mercantilisme***éditeurs***scientifiques***relèvent***idéologie***fossile***contrôle***étatique***toute***publication***dont***contenu***devrait***bénéficier***label***officiel***allons***nous***revenir***index***religieux***siècles***passés***conception***diffusion***scientifique***service***visées***totalitaires***comme***xxème***siècle***connut***avec***régimes***autoritaires***éditeurs***sont***favorables***objectif***rayonnement***recherche***française***porté***principe***open***access***pourvu***modalités***potentielles***mise***œuvre***bouleversent***écosystème***publications***scientifiques***constitue***rouage***crucial***diffusion***travaux***recherche***évaluation***même***chercheurs***survie***cercle***vertueux***recherche***édition***compromis***donc***requis***pour***organiser***conditions***libre***accès***résultats***recherche***publique***tout***assurant***maintien***activité***économique***éditeurs***agit***aussi***permettre***auteurs***chercheurs***continuer***bénéficier***pour***diffusion***leurs***travaux***réseau***revues***stable***dont***fiabilité***qualité***contribuent***valoriser***recherche***française***international***convient***souligner***délais***mois***imaginés***commission***européenne***dans***recommandation***juillet***2012***ailleurs***retenus***aucun***pays***important***termes***édition***scientifique***reposent***aucune***étude***impact***aucune***concertation***avec***industries***intéressées***depuis***plusieurs***années***éditeurs***demandent***donc***logiquement***études***impact***approfondies***soient***menées***concertation***soit***engagée***avec***chercheurs***avant***définir***toute***législation***économique***matière***open***access***autant***travaux***visent***prendre***compte***incidences***pourraient***entraîner***telles***mesures***pérennité***modèles***économiques***revues***elles***mêmes***afin***conduire***effondrement***écosystème***publications***scientifiques***éditeurs***demandent***délais***embargo***fixés***dans***soient***inférieurs***ceux***prévus***dans***présent***projet***savoir***douze***mois***pour***sciences***technique***médecine***vingt***quatre***mois***pour***sciences***humaines***sociales***compter***date***première***publication***études***impact***demeurent***nécessaires***pour***confirmer***infirmer***délais***fixés***sans***certitudes***incidences***potentielles***pour***équilibre***écosystème***caractéristiques***disciplines***variant***considérablement***autre***indispensable***soit***maintenue***distinction***opérée***entre***dans***mesure***impossible***considérer***travaux***recherche***physique***droit***biologie***sociologie***génétique***mathématiques***avancent***même***rythme***également***impossible***considérer***éditeurs***éditeurs***sont***soumis***mêmes***contraintes***compte***tenu***variabilité***structures***éditrices***selon***leurs***domaines***spécialisations***type***structure***juridique***taille***modèles***économiques***lectorat***distinction***discipline***opérée***projet***entre***tout***fait***cohérente***variété***paysage***éditorial***scientifique***marquée***coexistence***éditeurs***publics***privés***indispensable***pour***garantir***diffusion***mise***disposition***information***plurale***qualité***rayonnement***travaux***recherche***dépend***fondamentalement***diversité***santé***écosystème***édition***scientifique***paysage***édition***saurait***donc***reposer***exclusivement***service***public***sous***peine***risque***uniformisation***valorisation***travaux***recherche***française***serait***réduite***peau***chagrin***auteur***chercheur***doit***demeurer***détenteur***droit***initiativede***mise***disposition***article***rédigé***travaux***recherche***conformément***conditions***issue***délais***embargo***prévus
albertcohen	principe***même***embargo***contraire***esprit***ouverture***affiché***état***céder***éditeurs***commerciaux***point
stephanevial1	idéalement***libre***accès***devrait***être***immédiat***sans***période***embargo***nouveaux***modèles***économiques***édition***électronique***scientifique***étant***encore***matures***comprend***volonté***gouvernement***établir***compromis***pour***trop***affaiblir***édition***commerciale***publications***scientifiques***elle***rend***possibles***visibles***néanmoins***compromis***proposé***trop***déjà***dépassé***législations***plus***radicales***adoptées***dans***autres***pays***éditeurs***commerciaux***finiront***trouver***nouveaux***modèles***économiques***meilleur***moyen***aider***contraindre***maintenant***réduisant***maintenant***durée***embargo***mois***pour***sciences***technique***médecine***mois***pour***sciences***humaines***sociales***conformément***recommandations***commission***européenne***2012***cette***manière***peut***devenir***moteur***innovation
linefournier	monde***demain***sera***plus***plus***open***source***chercheurs***font***travaux***extraordinaires***mais***connait***rendre***accessible***numérique***serait***bonne***chose
instancesnumeriquesdumedef	réflexion***approfondie***doit***encore***être***menée***conséquences***mise***œuvre***article
sgl	bien***faut***aller***plus***loin***faire***droit***devoir***mais***déjà***début
laurentlamy	communauté***concernée***celle***chercheurs***produisent***besoin***accéder***publications***pâtit***tout***délai***accès***immédiat***délai***mois***avancée***changerait***guère***situation***actuelle***faite***alternatives***partielles***incluant***diffusion***prints***autorisés***quoi***plus***aberrant***pour***chercheur***financé***fonds***publics***voir***résultats***accessibles***raison***embargo***commercial***secteur***édition***scientifique***payante***apparente***travail***scientifique***auteurs***paient***pour***diffusion***leur***article***relecteurs***anonymes***travaillent***titre***gracieux***entrave***développement***connaissances
sylvainribault	clause***sous***réserve***droits***éventuels***coauteurs***discutée***beaucoup***reproduite***dans***propositions***modifications***crains***elle***rende***article***inopérant***dans***beaucoup***avec***embargos***exorbitants***absence***obligation***dépôt***réserves***coauteurs***interdiction***exploitation***commerciale***projet***article***caricature***libre***accès***faudrait***seulement***rejeter***mais***aussi***éviter***oriente***débat***exemple***pourquoi***discuter***durée***embargos***alors***aucun***embargo***souhaitable***nécéssaire
yanncochard	délai***trop***long***toute***étude***financée***fonds***publics***doit***être***accessible***librement***elle***déjà***payée***fois***elle***appartient***alors***tous***citoyens
lucoger	article***considère***montant***salaires***chercheurs***publics***université***cnrs***inserm***inria***comme***contribution***financière***cette***recherche***toute***activité***recherche***serade***fait***incluse***dans***cette***contrainte***publication***inapplicable***pourquoi***rédiger***article***fait***reprendre***situation***déjà***existante***articles***sont***déjà***publiés***accès***libre***sous***forme***arxiv***majorité***revues***sont***catégorie***verte***diffusion***avec***embargo***variable
marinecgossa	dans***recherche***financée***moins***pour***moitié***deniers***publics***serait***contre***productif***laisser***période***embargo***profiterait***éditeurs***public***article***répond***ainsi***objectifs***fixés***explication***selon
aureliedudezert	différence***embargo***entre***autres***sciences***sens***risque***freiner***développement***sciences***heure***nous***avons***cruellement***besoin***réactivité***scientifique***dans***domaine***ailleurs***pourquoi***prévoir***embargo***aussi***long***valeur***ajoutée***providers***information***scientifique***technique***vient***plus***données***publiées***mais***leur***capacité***nous***offrir***outils***traitement***données
christofschoch	manque***comme***ailleurs***permission***pratiquer***fouille***automatisée***données***textes***text***data***mining***collection***publications***auxquelles***chercheur***institution***aurait***déjà***accès***pour***lecture***projet***déjà***dépassé***rapport***fait***royaume
